State: (10, 8, 'left'), Optimal Action: 3

State: (10, 8, 'right'), Optimal Value: 680.366293
State: (10, 8, 'right'), Optimal Action: 2

State: (10, 9, 'up'), Optimal Value: 680.366293
State: (10, 9, 'up'), Optimal Action: 2

State: (10, 9, 'down'), Optimal Value: 842.304066
State: (10, 9, 'down'), Optimal Action: 1

State: (10, 9, 'left'), Optimal Value: 757.073659
State: (10, 9, 'left'), Optimal Action: 3

State: (10, 9, 'right'), Optimal Value: 757.073659
State: (10, 9, 'right'), Optimal Action: 2

