State: (1, 13, 'down'), Optimal Value: 189.775217
State: (1, 13, 'down'), Optimal Action: forward

State: (1, 13, 'left'), Optimal Value: 169.797613
State: (1, 13, 'left'), Optimal Action: left

State: (1, 13, 'right'), Optimal Value: 169.797613
State: (1, 13, 'right'), Optimal Action: right

State: (1, 14, 'up'), Optimal Value: 169.797613
State: (1, 14, 'up'), Optimal Action: right

State: (1, 14, 'down'), Optimal Value: 211.972462
State: (1, 14, 'down'), Optimal Action: forward

State: (1, 14, 'left'), Optimal Value: 189.775217
State: (1, 14, 'left'), Optimal Action: left

State: (1, 14, 'right'), Optimal Value: 189.775217
State: (1, 14, 'right'), Optimal Action: right

State: (1, 15, 'up'), Optimal Value: 189.775217
State: (1, 15, 'up'), Optimal Action: right

State: (1, 15, 'down'), Optimal Value: 236.636068
State: (1, 15, 'down'), Optimal Action: forward

State: (1, 15, 'left'), Optimal Value: 211.972462
State: (1, 15, 'left'), Optimal Action: left

State: (1, 15, 'right'), Optimal Value: 211.972462
State: (1, 15, 'right'), Optimal Action: right

State: (16, 2, 'up'), Optimal Value: 114.539009
State: (16, 2, 'up'), Optimal Action: forward

State: (16, 2, 'down'), Optimal Value: 90.876599
State: (16, 2, 'down'), Optimal Action: right

State: (16, 2, 'left'), Optimal Value: 102.085109
State: (16, 2, 'left'), Optimal Action: right

State: (16, 2, 'right'), Optimal Value: 102.085109
State: (16, 2, 'right'), Optimal Action: left

State: (16, 3, 'up'), Optimal Value: 102.085109
State: (16, 3, 'up'), Optimal Action: forward

State: (16, 3, 'down'), Optimal Value: 80.788898
State: (16, 3, 'down'), Optimal Action: right

State: (16, 3, 'left'), Optimal Value: 90.876599
State: (16, 3, 'left'), Optimal Action: right

State: (16, 3, 'right'), Optimal Value: 90.876599
State: (16, 3, 'right'), Optimal Action: left

State: (16, 4, 'up'), Optimal Value: 90.876599
State: (16, 4, 'up'), Optimal Action: forward

State: (16, 4, 'down'), Optimal Value: 71.710009
State: (16, 4, 'down'), Optimal Action: right

State: (16, 4, 'left'), Optimal Value: 80.788898
State: (16, 4, 'left'), Optimal Action: right

State: (16, 4, 'right'), Optimal Value: 80.788898
State: (16, 4, 'right'), Optimal Action: left

State: (16, 5, 'up'), Optimal Value: 80.788898
State: (16, 5, 'up'), Optimal Action: forward

State: (16, 5, 'down'), Optimal Value: 63.539009
State: (16, 5, 'down'), Optimal Action: right

State: (16, 5, 'left'), Optimal Value: 71.710009
State: (16, 5, 'left'), Optimal Action: right

State: (16, 5, 'right'), Optimal Value: 71.710009
State: (16, 5, 'right'), Optimal Action: left

State: (16, 6, 'up'), Optimal Value: 71.710009
State: (16, 6, 'up'), Optimal Action: forward

State: (16, 6, 'down'), Optimal Value: 56.185109
State: (16, 6, 'down'), Optimal Action: right

State: (16, 6, 'left'), Optimal Value: 63.539009
State: (16, 6, 'left'), Optimal Action: right

State: (16, 6, 'right'), Optimal Value: 63.539009
State: (16, 6, 'right'), Optimal Action: left

State: (16, 7, 'up'), Optimal Value: 63.539009
State: (16, 7, 'up'), Optimal Action: forward

State: (16, 7, 'down'), Optimal Value: 49.566599
State: (16, 7, 'down'), Optimal Action: right

State: (16, 7, 'left'), Optimal Value: 56.185109
State: (16, 7, 'left'), Optimal Action: right

State: (16, 7, 'right'), Optimal Value: 56.185109
State: (16, 7, 'right'), Optimal Action: left

State: (16, 8, 'up'), Optimal Value: 56.185109
State: (16, 8, 'up'), Optimal Action: forward

State: (16, 8, 'down'), Optimal Value: 43.609898
State: (16, 8, 'down'), Optimal Action: right

State: (16, 8, 'left'), Optimal Value: 49.566599
State: (16, 8, 'left'), Optimal Action: right

State: (16, 8, 'right'), Optimal Value: 49.566599
State: (16, 8, 'right'), Optimal Action: left

State: (16, 9, 'up'), Optimal Value: 49.566599
State: (16, 9, 'up'), Optimal Action: forward

State: (16, 9, 'down'), Optimal Value: 38.248909
State: (16, 9, 'down'), Optimal Action: right

State: (16, 9, 'left'), Optimal Value: 43.609898
State: (16, 9, 'left'), Optimal Action: right

State: (16, 9, 'right'), Optimal Value: 43.609898
State: (16, 9, 'right'), Optimal Action: left

State: (16, 10, 'up'), Optimal Value: 43.609898
State: (16, 10, 'up'), Optimal Action: forward

State: (16, 10, 'down'), Optimal Value: 33.424019
State: (16, 10, 'down'), Optimal Action: right

State: (16, 10, 'left'), Optimal Value: 38.248909
State: (16, 10, 'left'), Optimal Action: right

State: (16, 10, 'right'), Optimal Value: 38.248909
State: (16, 10, 'right'), Optimal Action: left

State: (16, 11, 'up'), Optimal Value: 38.248909
State: (16, 11, 'up'), Optimal Action: forward

State: (16, 11, 'down'), Optimal Value: 29.081618
State: (16, 11, 'down'), Optimal Action: right

State: (16, 11, 'left'), Optimal Value: 33.424019
State: (16, 11, 'left'), Optimal Action: right

State: (16, 11, 'right'), Optimal Value: 33.424019
State: (16, 11, 'right'), Optimal Action: left

State: (16, 12, 'up'), Optimal Value: 33.424019
State: (16, 12, 'up'), Optimal Action: forward

State: (16, 12, 'down'), Optimal Value: 25.173457
State: (16, 12, 'down'), Optimal Action: right

State: (16, 12, 'left'), Optimal Value: 29.081618
State: (16, 12, 'left'), Optimal Action: right

State: (16, 12, 'right'), Optimal Value: 29.081618
State: (16, 12, 'right'), Optimal Action: left

State: (16, 13, 'up'), Optimal Value: 29.081618
State: (16, 13, 'up'), Optimal Action: forward

State: (16, 13, 'down'), Optimal Value: 27.018580
State: (16, 13, 'down'), Optimal Action: forward

State: (16, 13, 'left'), Optimal Value: 25.173457
State: (16, 13, 'left'), Optimal Action: right

State: (16, 13, 'right'), Optimal Value: 25.173457
State: (16, 13, 'right'), Optimal Action: left

State: (16, 14, 'up'), Optimal Value: 25.173457
State: (16, 14, 'up'), Optimal Action: forward

State: (16, 14, 'down'), Optimal Value: 31.131847
State: (16, 14, 'down'), Optimal Action: forward

State: (16, 14, 'left'), Optimal Value: 27.018580
State: (16, 14, 'left'), Optimal Action: left

State: (16, 14, 'right'), Optimal Value: 27.018580
State: (16, 14, 'right'), Optimal Action: right

State: (16, 15, 'up'), Optimal Value: 27.018580
State: (16, 15, 'up'), Optimal Action: right

State: (16, 15, 'down'), Optimal Value: 35.702051
State: (16, 15, 'down'), Optimal Action: forward

State: (16, 15, 'left'), Optimal Value: 31.131847
State: (16, 15, 'left'), Optimal Action: left

State: (16, 15, 'right'), Optimal Value: 31.131847
State: (16, 15, 'right'), Optimal Action: right

