,Episode_No,Episode_Returns,Episode_Length
307,308.0,358.8367940662325,55.0
308,309.0,170.385318388509,17.0
309,310.0,356.28031510614284,205.0
310,311.0,358.8367940662325,55.0
311,312.0,365.9638577491891,97.0
312,313.0,362.3279685516733,97.0
313,314.0,361.57948633509545,73.0
314,315.0,321.804802207953,61.0
315,316.0,344.90278953644753,67.0
316,317.0,360.1432337065983,223.0
317,318.0,358.8367940662325,55.0
318,319.0,315.4654212649503,43.0
319,320.0,350.5539651648775,107.0
320,321.0,351.65507457439884,149.0
321,322.0,358.8367940662325,55.0
322,323.0,373.4503142227944,164.0
323,324.0,328.60200495219743,217.0
324,325.0,356.5245886328502,57.0
325,326.0,358.8367940662325,55.0
326,327.0,363.027593491872,137.0
327,328.0,342.8273628542182,57.0
328,329.0,319.8262882453128,59.0
329,330.0,358.8367940662325,55.0
330,331.0,374.4254237614644,207.0
331,332.0,358.8367940662325,55.0
332,333.0,358.8367940662325,55.0
333,334.0,372.95881180291326,117.0
334,335.0,353.94946839318237,59.0
335,336.0,366.4713333749478,171.0
336,337.0,340.72246105498994,57.0
337,338.0,331.1638772541499,57.0
338,339.0,315.48585652273795,61.0
339,340.0,365.3490492703255,129.0
340,341.0,339.5578428660539,57.0
341,342.0,305.0652589569104,71.0
342,343.0,356.5612410336536,125.0
343,344.0,348.5504400625867,57.0
344,345.0,354.48544463121993,57.0
345,346.0,355.1485533022134,57.0
346,347.0,358.8367940662325,55.0
347,348.0,301.76659451427224,156.0
348,349.0,358.8367940662325,55.0
349,350.0,359.85894743162174,137.0
350,351.0,341.84979509176725,68.0
351,352.0,356.28711503473846,57.0
352,353.0,358.8367940662325,55.0
353,354.0,347.8531401327618,57.0
354,355.0,324.7966744438167,201.0
355,356.0,328.82998179899806,307.0
356,357.0,287.9045793460769,116.0
357,358.0,350.21612796631996,59.0
358,359.0,350.9623329579528,278.0
359,360.0,354.09734293191605,56.0
360,361.0,349.4454420489083,59.0
361,362.0,376.3858580694449,194.0
362,363.0,361.1144678706247,395.0
363,364.0,358.8367940662325,55.0
364,365.0,369.9134324842792,261.0
365,366.0,367.95993240848435,133.0
366,367.0,360.3513119065094,270.0
367,368.0,347.8855081064717,129.0
368,369.0,331.622445366743,75.0
369,370.0,357.5452886727838,57.0
370,371.0,358.8367940662325,55.0
371,372.0,370.5804293714224,133.0
372,373.0,358.8367940662325,55.0
373,374.0,322.5245802155133,81.0
374,375.0,367.8136207140974,260.0
375,376.0,358.8367940662325,55.0
376,377.0,360.90237140237315,89.0
377,378.0,358.8367940662325,55.0
378,379.0,316.37900505815173,41.0
379,380.0,358.8367940662325,55.0
380,381.0,357.04092016282664,56.0
381,382.0,352.79516517075893,173.0
382,383.0,354.09734293191605,56.0
383,384.0,344.6771110020348,57.0
384,385.0,352.9365746912223,57.0
385,386.0,372.05289780083365,298.0
386,387.0,365.4760603603737,341.0
387,388.0,353.1357051325232,348.0
388,389.0,365.12838077301615,79.0
389,390.0,371.9596312941053,139.0
390,391.0,362.65750052250144,77.0
391,392.0,362.3990696456141,129.0
392,393.0,337.6191474591729,223.0
393,394.0,312.0510004823176,69.0
394,395.0,337.47355779729,59.0
395,396.0,358.8367940662325,55.0
396,397.0,358.8367940662325,55.0
397,398.0,336.5061830929131,59.0
398,399.0,363.6691290526378,561.0
399,400.0,347.1191402066303,57.0
400,401.0,374.84419788614787,207.0
401,402.0,325.9086134384404,121.0
402,403.0,354.175571983186,83.0
403,404.0,358.8367940662325,55.0
404,405.0,361.53490581925337,111.0
405,406.0,358.8367940662325,55.0
406,407.0,358.8367940662325,55.0
407,408.0,374.6570279923633,145.0
408,409.0,358.8367940662325,55.0
409,410.0,306.7813246982467,304.0
410,411.0,354.1093133895445,59.0
411,412.0,337.0721715623556,86.0
412,413.0,372.1049724086305,157.0
413,414.0,352.54439070206837,117.0
414,415.0,319.0014329371626,43.0
415,416.0,358.8367940662325,55.0
416,417.0,358.8367940662325,55.0
417,418.0,358.8367940662325,55.0
418,419.0,376.6019162408665,207.0
419,420.0,358.8367940662325,55.0
420,421.0,341.7791011210681,155.0
421,422.0,322.7851930506288,79.0
422,423.0,328.8513966958041,91.0
423,424.0,333.6301561227942,61.0
424,425.0,308.1318512263658,61.0
425,426.0,358.8367940662325,55.0
426,427.0,331.80773814928733,113.0
427,428.0,357.65362110562427,418.0
428,429.0,366.26041744008984,149.0
429,430.0,366.4773924393818,97.0
430,431.0,337.94326394637415,61.0
431,432.0,341.1078196158458,247.0
432,433.0,362.5670300885791,131.0
433,434.0,368.36387264007675,96.0
434,435.0,357.3615361294054,57.0
435,436.0,358.8367940662325,55.0
436,437.0,358.8367940662325,55.0
437,438.0,357.68812054663124,189.0
438,439.0,362.83629308660454,109.0
439,440.0,337.04149331655213,57.0
440,441.0,358.8367940662325,55.0
441,442.0,358.8367940662325,55.0
442,443.0,327.736270958714,59.0
443,444.0,358.3350869065898,57.0
444,445.0,319.89139471603403,59.0
445,446.0,370.64976525950163,175.0
446,447.0,288.13379289432805,105.0
447,448.0,376.1393160734755,277.0
448,449.0,340.26374847065244,61.0
449,450.0,358.8367940662325,55.0
450,451.0,358.8367940662325,55.0
451,452.0,364.4588052028101,93.0
452,453.0,336.80046251620985,108.0
453,454.0,330.99078651011575,65.0
454,455.0,351.5475482543065,57.0
455,456.0,327.94495158185185,115.0
456,457.0,324.0971597843604,61.0
457,458.0,351.5475482543065,57.0
458,459.0,365.437394427393,253.0
459,460.0,358.8367940662325,55.0
460,461.0,339.5578428660539,57.0
461,462.0,329.4961757072749,57.0
462,463.0,359.9895180970804,83.0
463,464.0,337.04149331655213,57.0
464,465.0,358.8367940662325,55.0
465,466.0,343.79050291710314,59.0
466,467.0,358.19290269130653,57.0
467,468.0,368.71592320521586,141.0
468,469.0,369.73559758476165,123.0
469,470.0,356.15330124734436,61.0
470,471.0,270.3460357192098,41.0
471,472.0,358.1859757148538,144.0
472,473.0,373.1267195709654,119.0
473,474.0,358.8367940662325,55.0
474,475.0,372.07668831968334,117.0
475,476.0,325.1002673225206,279.0
476,477.0,349.5236833107032,97.0
477,478.0,330.1854709484113,190.0
478,479.0,361.6432487913909,93.0
479,480.0,358.91925674127674,65.0
480,481.0,358.8367940662325,55.0
481,482.0,290.6513299301615,43.0
482,483.0,340.69521012514747,339.0
483,484.0,358.8367940662325,55.0
484,485.0,358.8367940662325,55.0
485,486.0,346.3465087054393,57.0
486,487.0,357.76319958000823,99.0
487,488.0,371.2066385092271,175.0
488,489.0,344.96355234597274,133.0
489,490.0,369.9883782325374,173.0
490,491.0,344.1431165754418,73.0
491,492.0,131.91075547256872,13.0
492,493.0,360.2616925135732,317.0
493,494.0,127.2673504101029,13.0
494,495.0,285.79258303580025,45.0
495,496.0,307.60198910294736,67.0
496,497.0,372.60848947092046,109.0
497,498.0,358.8367940662325,55.0
498,499.0,348.88948261084033,211.0
499,500.0,355.4554535973784,57.0
