State: (10, 2, 'left'), Optimal Value: 27.018662
State: (10, 2, 'left'), Optimal Action: 3

State: (10, 2, 'right'), Optimal Value: 27.018662
State: (10, 2, 'right'), Optimal Action: 2

State: (10, 3, 'up'), Optimal Value: 27.018662
State: (10, 3, 'up'), Optimal Action: 2

State: (10, 3, 'down'), Optimal Value: 35.702050
State: (10, 3, 'down'), Optimal Action: 1

State: (10, 3, 'left'), Optimal Value: 31.131846
State: (10, 3, 'left'), Optimal Action: 3

State: (10, 3, 'right'), Optimal Value: 31.131846
State: (10, 3, 'right'), Optimal Action: 2

State: (10, 4, 'up'), Optimal Value: 31.131846
State: (10, 4, 'up'), Optimal Action: 2

State: (10, 4, 'down'), Optimal Value: 40.780055
State: (10, 4, 'down'), Optimal Action: 1

State: (10, 4, 'left'), Optimal Value: 35.702050
State: (10, 4, 'left'), Optimal Action: 3

State: (10, 4, 'right'), Optimal Value: 35.702050
State: (10, 4, 'right'), Optimal Action: 2

State: (10, 5, 'up'), Optimal Value: 35.702050
State: (10, 5, 'up'), Optimal Action: 2

State: (10, 5, 'down'), Optimal Value: 46.422282
State: (10, 5, 'down'), Optimal Action: 1

State: (10, 5, 'left'), Optimal Value: 40.780055
State: (10, 5, 'left'), Optimal Action: 3

State: (10, 5, 'right'), Optimal Value: 40.780055
State: (10, 5, 'right'), Optimal Action: 2

State: (10, 6, 'up'), Optimal Value: 40.780055
State: (10, 6, 'up'), Optimal Action: 2

State: (10, 6, 'down'), Optimal Value: 52.691424
State: (10, 6, 'down'), Optimal Action: 1

State: (10, 6, 'left'), Optimal Value: 46.422282
State: (10, 6, 'left'), Optimal Action: 3

State: (10, 6, 'right'), Optimal Value: 46.422282
State: (10, 6, 'right'), Optimal Action: 2

State: (10, 7, 'up'), Optimal Value: 46.422282
State: (10, 7, 'up'), Optimal Action: 2

State: (10, 7, 'down'), Optimal Value: 59.657229
State: (10, 7, 'down'), Optimal Action: 1

State: (10, 7, 'left'), Optimal Value: 52.691424
State: (10, 7, 'left'), Optimal Action: 3

State: (10, 7, 'right'), Optimal Value: 52.691424
State: (10, 7, 'right'), Optimal Action: 2

State: (10, 8, 'up'), Optimal Value: 52.691424
State: (10, 8, 'up'), Optimal Action: 2

State: (10, 8, 'down'), Optimal Value: 67.396920
State: (10, 8, 'down'), Optimal Action: 1

State: (10, 8, 'left'), Optimal Value: 59.657229
State: (10, 8, 'left'), Optimal Action: 3

State: (10, 8, 'right'), Optimal Value: 59.657229
State: (10, 8, 'right'), Optimal Action: 2

State: (10, 9, 'up'), Optimal Value: 59.657229
State: (10, 9, 'up'), Optimal Action: 2

State: (10, 9, 'down'), Optimal Value: 75.996577
State: (10, 9, 'down'), Optimal Action: 1

State: (10, 9, 'left'), Optimal Value: 67.396920
State: (10, 9, 'left'), Optimal Action: 3

State: (10, 9, 'right'), Optimal Value: 67.396920
State: (10, 9, 'right'), Optimal Action: 2

